,customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
34,RI76930,California,4163.04,No,Basic,College,2011-02-12,Employed,F,43276,Suburban,Married,104,16,11,0,1,Personal Auto,Personal L3,Offer2,Call Center,499.2,SUV,Large,A,2
35,YK26558,California,5264.64,No,Basic,College,2011-02-20,Unemployed,F,0,Rural,Divorced,72,30,26,0,8,Special Auto,Special L3,Offer1,Branch,135.89,Four-Door Car,Medsize,A,2
36,OE15005,California,3945.24,No,Basic,College,2011-01-05,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal Auto,Personal L2,Offer3,Call Center,647.44,SUV,Medsize,A,1
37,RA17555,Oregon,5176.73,No,Basic,High School or Below,2011-02-07,Employed,M,41533,Urban,Married,65,2,46,0,9,Corporate Auto,Corporate L2,Offer3,Agent,232.88,Four-Door Car,Medsize,A,2
38,ZI34278,Arizona,4492.23,No,Basic,Bachelor,2011-01-28,Medical Leave,F,21137,Suburban,Single,61,29,62,1,6,Personal Auto,Personal L1,Offer2,Web,292.8,Four-Door Car,Medsize,A,1
39,XD72019,Oregon,8470.04,No,Extended,Bachelor,2011-02-19,Unemployed,F,0,Suburban,Single,82,1,13,0,2,Personal Auto,Personal L2,Offer2,Web,479.31,Four-Door Car,Large,A,2
40,RR93140,California,2880.35,No,Basic,College,2011-01-05,Employed,F,81565,Urban,Married,71,19,54,0,1,Personal Auto,Personal L2,Offer2,Branch,190.64,Four-Door Car,Medsize,A,1
41,BE25221,Arizona,6182.62,No,Extended,High School or Below,2011-02-07,Medical Leave,M,20072,Suburban,Married,82,35,51,0,9,Corporate Auto,Corporate L3,Offer1,Agent,473.27,Four-Door Car,Medsize,A,2
42,PV62583,Nevada,9799.18,No,Extended,College,2011-01-03,Medical Leave,M,22166,Suburban,Married,126,10,22,0,6,Personal Auto,Personal L3,Offer1,Web,604.8,SUV,Medsize,A,1
43,BL12371,Arizona,5790.57,No,Basic,Master,2011-02-03,Employed,M,84551,Rural,Divorced,72,10,82,0,5,Personal Auto,Personal L3,Offer2,Agent,28.93,Four-Door Car,Large,A,2
44,ER49844,Arizona,5041.45,No,Basic,College,2011-01-19,Employed,M,61972,Rural,Married,64,2,52,2,5,Personal Auto,Personal L1,Offer4,Call Center,138.96,Four-Door Car,Medsize,A,1
45,RI22468,Arizona,5745.94,No,Basic,Bachelor,2011-01-22,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal Auto,Personal L1,Offer3,Web,269.91,Four-Door Car,Medsize,A,1
46,SY48591,Arizona,4827.78,No,Basic,College,2011-01-17,Unemployed,F,0,Suburban,Single,68,29,91,0,6,Personal Auto,Personal L3,Offer1,Branch,326.4,Four-Door Car,Medsize,A,1
47,PR23514,California,7664.22,No,Basic,College,2011-01-23,Employed,M,60184,Rural,Divorced,199,7,44,1,1,Personal Auto,Personal L3,Offer2,Web,161.62,Luxury SUV,Medsize,A,1
48,UY32623,California,3593.13,No,Extended,College,2011-02-05,Disabled,F,18213,Suburban,Divorced,96,12,43,1,1,Corporate Auto,Corporate L2,Offer1,Branch,460.8,Four-Door Car,Large,A,2
49,QV30663,Nevada,9863.5,No,Extended,Master,2011-02-28,Employed,F,99654,Rural,Married,121,13,95,0,3,Personal Auto,Personal L3,Offer3,Call Center,272.79,SUV,Medsize,A,2
50,MS94619,California,5111.3,No,Basic,High School or Below,2011-02-13,Employed,F,76448,Suburban,Married,63,9,13,0,3,Personal Auto,Personal L3,Offer3,Web,302.4,Four-Door Car,Medsize,A,2
51,FT56968,Arizona,2590.1,No,Basic,High School or Below,2011-01-03,Employed,M,22398,Suburban,Married,67,15,76,0,1,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Large,A,1
52,TX39594,Arizona,2452.49,No,Basic,High School or Below,2011-01-25,Employed,F,51085,Suburban,Married,62,4,58,1,1,Personal Auto,Personal L3,Offer3,Call Center,406.9,Two-Door Car,Small,A,1
53,GR42174,Oregon,2194.67,No,Basic,College,2011-01-02,Unemployed,M,0,Suburban,Single,62,11,48,0,1,Personal Auto,Personal L3,Offer4,Call Center,623.53,Four-Door Car,Medsize,A,1
54,XI79589,California,4473.88,No,Extended,High School or Below,2011-02-16,Unemployed,F,0,Suburban,Divorced,125,2,84,0,1,Personal Auto,Personal L1,Offer1,Branch,600.0,SUV,Medsize,A,2
55,XQ74827,Arizona,19435.63,No,Extended,High School or Below,2011-02-01,Employed,F,38688,Suburban,Single,249,22,6,0,3,Special Auto,Special L3,Offer1,Agent,2294.63,Luxury Car,Medsize,A,2
56,TW17878,Oregon,2457.58,No,Basic,High School or Below,2011-01-27,Employed,F,52926,Suburban,Married,61,2,92,0,1,Personal Auto,Personal L3,Offer1,Call Center,292.8,Four-Door Car,Medsize,A,1
57,GB43363,Oregon,6870.61,No,Premium,College,2011-01-24,Unemployed,M,0,Suburban,Single,105,5,87,0,3,Personal Auto,Personal L3,Offer1,Branch,756.0,Four-Door Car,Small,A,1
58,BR69566,California,14019.83,No,Basic,College,2011-02-18,Employed,M,31739,Suburban,Divorced,71,10,29,0,2,Personal Auto,Personal L3,Offer4,Call Center,469.88,Two-Door Car,Small,A,2
59,EP83939,Arizona,5575.75,No,Basic,High School or Below,2011-01-26,Employed,M,91416,Rural,Married,69,15,39,0,5,Personal Auto,Personal L3,Offer2,Call Center,109.9,Four-Door Car,Medsize,A,1
60,IQ95180,Oregon,5651.4,No,Basic,Bachelor,2011-01-19,Employed,M,44634,Suburban,Married,71,16,99,1,9,Personal Auto,Personal L3,Offer1,Branch,396.04,Four-Door Car,Small,A,1
61,JX52708,California,4556.07,No,Basic,Bachelor,2011-02-14,Medical Leave,M,25617,Suburban,Divorced,63,22,3,0,3,Personal Auto,Personal L3,Offer2,Call Center,302.4,Two-Door Car,Medsize,A,2
62,UF44021,California,2108.49,No,Basic,Bachelor,2011-01-02,Unemployed,M,0,Suburban,Single,61,8,91,0,1,Personal Auto,Personal L2,Offer1,Agent,351.86,Two-Door Car,Medsize,A,1
63,AV25133,Oregon,3095.71,No,Extended,College,2011-01-12,Unemployed,F,0,Suburban,Single,92,31,24,1,1,Personal Auto,Personal L3,Offer3,Web,774.89,Two-Door Car,Small,A,1
64,WL24392,Arizona,5860.17,No,Basic,Bachelor,2011-02-01,Employed,M,94527,Rural,Married,73,16,32,0,3,Personal Auto,Personal L1,Offer1,Agent,41.46,Four-Door Car,Medsize,A,2
65,LO57874,Oregon,2300.69,Yes,Basic,Bachelor,2011-01-15,Retired,M,25905,Suburban,Divorced,63,21,12,0,1,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Four-Door Car,Large,A,1
66,UO54511,California,4950.25,No,Basic,High School or Below,2011-01-20,Employed,F,27400,Suburban,Married,63,14,78,1,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,A,1
67,KR35099,Washington,7507.46,Yes,Basic,College,2011-02-06,Employed,M,60920,Urban,Single,64,15,61,0,2,Personal Auto,Personal L3,Offer2,Agent,231.2,Two-Door Car,Medsize,A,2
68,NY12562,Nevada,2224.09,No,Basic,College,2011-01-05,Unemployed,F,0,Suburban,Single,64,20,4,0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.26,Four-Door Car,Medsize,A,1
69,QG27547,Oregon,2867.31,Yes,Extended,Bachelor,2011-01-03,Retired,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A,1
70,PH78214,Oregon,5427.17,No,Basic,College,2011-02-11,Medical Leave,F,27677,Suburban,Married,72,10,82,1,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,A,2
71,LO37570,Arizona,12157.54,No,Extended,High School or Below,2011-01-07,Employed,M,40432,Suburban,Married,77,21,66,0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,A,1
72,FH81409,California,8152.24,No,Extended,High School or Below,2011-01-21,Unemployed,M,0,Suburban,Single,79,19,70,0,2,Personal Auto,Personal L1,Offer1,Agent,568.8,Four-Door Car,Small,A,1
73,RW65977,Arizona,2191.13,No,Basic,College,2011-01-29,Unemployed,M,0,Suburban,Single,61,9,16,1,1,Special Auto,Special L2,Offer1,Agent,439.2,Four-Door Car,Medsize,A,1
74,LD75023,Oregon,26346.09,No,Extended,High School or Below,2011-01-20,Employed,M,48268,Suburban,Divorced,223,28,26,0,2,Personal Auto,Personal L2,Offer1,Web,1605.6,Luxury SUV,Medsize,A,1
75,OZ92426,Oregon,2364.43,No,Basic,College,2011-01-18,Employed,M,46264,Urban,Single,62,17,75,0,1,Corporate Auto,Corporate L1,Offer4,Branch,199.37,Four-Door Car,Medsize,A,1
76,FI17798,California,2710.12,No,Basic,Doctor,2011-01-11,Unemployed,M,0,Suburban,Married,71,7,87,0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Small,A,1
77,YC54142,Washington,74228.52,No,Extended,High School or Below,2011-01-26,Unemployed,M,0,Suburban,Single,242,1,34,0,2,Personal Auto,Personal L1,Offer1,Branch,1742.4,Luxury Car,Medsize,A,1
78,LN28900,California,14687.08,No,Extended,Bachelor,2011-02-23,Unemployed,M,0,Suburban,Single,85,3,61,0,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small,A,2
79,SX63814,Arizona,9312.59,No,Premium,High School or Below,2011-02-13,Employed,M,75986,Rural,Married,115,11,44,0,3,Personal Auto,Personal L3,Offer3,Call Center,89.12,Four-Door Car,Medsize,A,2
80,VM85555,California,7750.12,No,Basic,College,2011-02-23,Employed,F,22668,Rural,Single,67,5,34,1,2,Personal Auto,Personal L2,Offer3,Branch,33.72,Four-Door Car,Medsize,A,2
81,RO18530,Washington,2540.69,No,Basic,Master,2011-02-28,Employed,M,42557,Rural,Single,65,4,35,0,1,Personal Auto,Personal L3,Offer4,Agent,57.56,Four-Door Car,Large,A,2
82,FR48094,Arizona,2456.82,No,Basic,High School or Below,2011-02-15,Unemployed,M,0,Suburban,Single,73,15,59,0,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small,A,2
83,DY27653,Oregon,3755.81,No,Extended,High School or Below,2011-01-04,Employed,F,56178,Suburban,Married,94,1,39,0,1,Personal Auto,Personal L3,Offer2,Branch,451.2,Four-Door Car,Medsize,A,1
84,OH69760,Arizona,5181.05,No,Basic,College,2011-02-02,Unemployed,F,0,Suburban,Married,70,15,64,0,7,Personal Auto,Personal L1,Offer1,Branch,336.0,Four-Door Car,Large,A,2
85,CH50584,Oregon,32474.77,No,Basic,High School or Below,2011-01-22,Employed,M,71449,Suburban,Divorced,102,17,7,0,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,A,1
86,WM19996,California,8349.52,No,Basic,Bachelor,2011-01-09,Employed,M,45428,Urban,Divorced,109,15,46,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,487.27,SUV,Medsize,A,1
87,ZH92587,Oregon,8126.77,No,Basic,College,2011-02-22,Disabled,F,14616,Suburban,Married,107,15,73,0,3,Personal Auto,Personal L3,Offer1,Agent,513.6,Four-Door Car,Medsize,A,2
88,CJ51511,Arizona,13466.92,Yes,Basic,High School or Below,2011-02-23,Disabled,F,11432,Suburban,Married,119,15,9,0,2,Corporate Auto,Corporate L3,Offer2,Agent,571.2,Four-Door Car,Medsize,A,2
89,ME37450,Arizona,5210.35,No,Basic,Bachelor,2011-01-04,Employed,M,89781,Rural,Single,66,7,89,0,5,Special Auto,Special L2,Offer1,Agent,37.96,Four-Door Car,Medsize,A,1
90,KO86181,Oregon,6941.87,No,Basic,College,2011-02-11,Unemployed,F,0,Suburban,Single,111,3,73,3,6,Personal Auto,Personal L3,Offer1,Agent,532.8,SUV,Small,A,2
91,KD63933,California,7048.38,No,Basic,College,2011-02-19,Medical Leave,M,24030,Suburban,Single,194,14,0,0,1,Personal Auto,Personal L1,Offer1,Agent,970.69,Luxury SUV,Medsize,A,2
92,CM66204,Arizona,26770.45,No,Basic,College,2011-01-23,Employed,F,26335,Urban,Married,113,32,7,1,2,Personal Auto,Personal L2,Offer1,Call Center,355.82,SUV,Large,A,1
93,NV13794,Nevada,9549.11,No,Basic,High School or Below,2011-02-09,Employed,F,55986,Urban,Married,119,3,60,0,9,Personal Auto,Personal L1,Offer1,Agent,388.51,SUV,Small,A,2
94,HF75891,Washington,4331.46,No,Basic,High School or Below,2011-02-11,Employed,F,82302,Suburban,Married,106,11,92,0,1,Personal Auto,Personal L2,Offer1,Branch,722.18,SUV,Medsize,A,2
95,NB81923,Washington,7294.49,No,Basic,College,2011-02-24,Unemployed,F,0,Suburban,Single,113,12,66,2,7,Personal Auto,Personal L3,Offer1,Call Center,733.74,Sports Car,Medsize,A,2
96,AV96010,Oregon,3289.12,No,Extended,College,2011-01-29,Employed,M,40097,Rural,Single,92,23,35,4,1,Personal Auto,Personal L2,Offer1,Call Center,227.22,Two-Door Car,Medsize,A,1
97,CA22248,Oregon,2505.42,No,Basic,Master,2011-02-14,Employed,F,60546,Rural,Single,63,21,71,0,1,Personal Auto,Personal L3,Offer2,Branch,46.28,Four-Door Car,Medsize,A,2
98,PK23339,Arizona,3417.95,No,Extended,High School or Below,2011-01-25,Employed,F,72460,Urban,Married,85,9,76,0,1,Personal Auto,Personal L2,Offer2,Call Center,370.02,Four-Door Car,Medsize,A,1
99,JY66887,California,16320.77,No,Extended,High School or Below,2011-02-27,Unemployed,F,0,Suburban,Single,247,5,12,3,5,Personal Auto,Personal L2,Offer2,Branch,1778.4,Luxury Car,Medsize,A,2
100,NH16984,California,2838.07,No,Extended,Bachelor,2011-02-07,Unemployed,F,0,Urban,Divorced,80,30,8,0,1,Personal Auto,Personal L1,Offer1,Web,336.51,Four-Door Car,Medsize,A,2
101,UV12583,California,4700.58,No,Basic,College,2011-02-18,Employed,F,76694,Suburban,Married,117,34,23,0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,A,2
102,VG56765,Arizona,2471.53,Yes,Basic,High School or Below,2011-01-15,Employed,M,95697,Rural,Married,61,16,55,0,1,Personal Auto,Personal L2,Offer2,Agent,114.27,Two-Door Car,Medsize,A,1
103,AK11669,Arizona,10130.93,No,Extended,Doctor,2011-01-17,Employed,F,59232,Suburban,Divorced,85,6,75,0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,A,1
104,SZ60450,California,3419.11,No,Extended,High School or Below,2011-02-13,Employed,M,40272,Rural,Married,86,8,64,0,1,Personal Auto,Personal L3,Offer3,Agent,23.39,Two-Door Car,Medsize,A,2
105,MS87381,California,23866.16,No,Extended,High School or Below,2011-02-14,Unemployed,F,0,Suburban,Married,81,27,93,1,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,A,2
106,LP47259,Arizona,8324.23,No,Extended,High School or Below,2011-01-01,Unemployed,M,0,Suburban,Single,121,15,92,0,5,Corporate Auto,Corporate L3,Offer2,Branch,871.2,Sports Car,Medsize,A,1
107,No31089,Arizona,3179.47,No,Extended,Bachelor,2011-01-21,Employed,F,65742,Urban,Married,79,6,0,0,1,Personal Auto,Personal L3,Offer2,Call Center,277.36,Four-Door Car,Medsize,A,1
108,SD83603,Oregon,6672.13,No,Extended,College,2011-02-13,Employed,F,56830,Urban,Married,83,15,27,0,9,Personal Auto,Personal L1,Offer2,Agent,319.8,Two-Door Car,Medsize,A,2
109,TK65222,California,16407.66,No,Premium,Bachelor,2011-01-12,Employed,M,22103,Rural,Single,109,16,31,0,2,Personal Auto,Personal L2,Offer1,Agent,160.34,Four-Door Car,Large,A,1
110,HB48073,Arizona,9371.77,No,Basic,Bachelor,2011-02-01,Employed,F,66325,Urban,Married,117,10,10,0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.72,SUV,Medsize,A,2
111,DO60145,Arizona,4270.03,Yes,Extended,College,2011-01-19,Unemployed,M,0,Suburban,Married,122,27,2,0,1,Personal Auto,Personal L3,Offer2,Agent,725.87,SUV,Medsize,A,1
112,BA40043,California,5799.83,No,Basic,College,2011-01-03,Employed,M,60689,Rural,Single,74,29,67,0,7,Corporate Auto,Corporate L2,Offer2,Branch,5.75,Four-Door Car,Medsize,A,1
113,EC28398,Oregon,5096.67,Yes,Basic,Master,2011-01-28,Disabled,F,22886,Suburban,Divorced,65,9,81,0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,A,1
114,FE99816,Nevada,15563.37,No,Premium,Bachelor,2011-01-19,Unemployed,F,0,Suburban,Married,253,15,40,5,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,A,1
115,HS39343,Washington,7475.78,No,Basic,Bachelor,2011-01-26,Disabled,F,29633,Urban,Married,196,26,57,0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.65,Luxury Car,Medsize,A,1
116,GL44478,Oregon,9986.66,No,Extended,High School or Below,2011-01-22,Disabled,M,24067,Suburban,Single,132,12,2,0,6,Corporate Auto,Corporate L3,Offer2,Branch,633.6,Sports Car,Medsize,A,1
117,EF84269,California,5568.66,No,Extended,College,2011-02-21,Employed,F,51489,Rural,Married,139,14,10,0,1,Personal Auto,Personal L2,Offer1,Web,236.74,SUV,Medsize,A,2
118,RD22761,Washington,20579.69,No,Basic,Bachelor,2011-01-16,Unemployed,M,0,Suburban,Single,69,5,26,0,2,Personal Auto,Personal L3,Offer3,Call Center,566.67,Four-Door Car,Medsize,A,1
119,DO41287,Oregon,8276.44,No,Extended,High School or Below,2011-02-18,Unemployed,M,0,Suburban,Single,82,29,92,0,2,Personal Auto,Personal L2,Offer3,Branch,590.4,Four-Door Car,Medsize,A,2
120,OO89057,California,4014.33,No,Extended,Master,2011-02-17,Employed,F,54054,Rural,Married,99,7,55,0,1,Personal Auto,Personal L2,Offer2,Branch,5.66,Four-Door Car,Medsize,A,2
121,DQ92905,Arizona,12989.82,No,Basic,Bachelor,2011-02-24,Unemployed,M,0,Suburban,Single,65,16,3,0,2,Personal Auto,Personal L3,Offer1,Web,312.0,Four-Door Car,Medsize,A,2
122,EW33419,California,15114.4,Yes,Basic,High School or Below,2011-01-19,Medical Leave,F,28513,Suburban,Married,100,4,22,1,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,A,1
123,KH16079,Washington,4709.52,No,Basic,High School or Below,2011-02-12,Unemployed,F,0,Suburban,Single,66,17,29,0,3,Personal Auto,Personal L1,Offer1,Agent,470.58,Four-Door Car,Small,A,2
124,GU99037,Oregon,2452.98,No,Basic,College,2011-02-14,Employed,M,79898,Urban,Married,62,5,86,1,1,Corporate Auto,Corporate L1,Offer4,Agent,271.61,Four-Door Car,Medsize,A,2
125,BM92346,California,3919.37,Yes,Extended,High School or Below,2011-01-05,Employed,F,66676,Suburban,Married,97,0,40,0,1,Personal Auto,Personal L1,Offer3,Agent,558.1,Four-Door Car,Small,A,1
126,TE60343,California,4716.26,No,Basic,High School or Below,2011-02-25,Employed,M,25746,Suburban,Married,61,0,84,1,3,Corporate Auto,Corporate L3,Offer2,Agent,292.8,Four-Door Car,Medsize,A,2
127,RU75949,Oregon,12332.52,No,Basic,College,2011-02-28,Employed,M,85789,Rural,Married,105,18,54,2,2,Personal Auto,Personal L1,Offer1,Agent,122.3,Sports Car,Medsize,A,2
128,PP35705,California,35862.99,No,Extended,High School or Below,2011-02-26,Medical Leave,M,26376,Suburban,Divorced,121,7,19,0,2,Personal Auto,Personal L3,Offer1,Agent,580.8,SUV,Small,A,2
129,ZM45168,Oregon,2398.35,No,Basic,College,2011-02-14,Disabled,M,14321,Suburban,Single,65,20,72,0,1,Personal Auto,Personal L2,Offer1,Branch,423.82,Four-Door Car,Medsize,A,2
130,SH93005,California,6005.85,Yes,Extended,College,2011-02-23,Retired,M,13528,Suburban,Single,86,21,35,0,3,Personal Auto,Personal L3,Offer1,Agent,412.8,Four-Door Car,Medsize,A,2
131,QK24293,California,6265.34,No,Extended,Doctor,2011-01-13,Unemployed,F,0,Suburban,Married,84,18,25,1,4,Corporate Auto,Corporate L1,Offer1,Agent,481.03,Four-Door Car,Medsize,A,1
